species	family	pmid	compound	compound_id	gene	gene_id	disease	disease_id	np_gene_rel	gene_disease_rel
Abelmoschus Esculentus	Malvaceae	39840302	NA	NA	CTNNB1	1499	Colorectal Neoplasms	D015179	NA	Association
Abelmoschus Esculentus	Malvaceae	39840302	NA	NA	CTNNB1	1499	Carcinogenesis	D063646	NA	Association
Abelmoschus Esculentus	Malvaceae	38887049	NA	NA	CYP19A1	1588	Breast Neoplasms	D001943	NA	Association
Abelmoschus Esculentus	Malvaceae	38887049	NA	NA	ESR1	2099	Breast Neoplasms	D001943	NA	Association
Abelmoschus Esculentus	Malvaceae	31768613	NA	NA	BABA		Stomach Neoplasms	D013274	NA	Association
Abelmoschus Esculentus	Malvaceae	39840302	NA	NA	APC	324	Colorectal Neoplasms	D015179	NA	Association
Abelmoschus Esculentus	Malvaceae	39840302	NA	NA	APC	324	Carcinogenesis	D063646	NA	Association
Abelmoschus Esculentus	Malvaceae	34264183	NA	NA	GSTP1	2950	Carcinoma, Hepatocellular	D006528	NA	Association
Abelmoschus Manihot	Malvaceae	39289944	NA	NA	TGFB1	7040	Colorectal Neoplasms	D015179	NA	Association
Abelmoschus Manihot	Malvaceae	39289944	NA	NA	STAT3	6774	Colorectal Neoplasms	D015179	NA	Association
Abrus Precatorius	Fabaceae	25000506	NA	NA	IFNG	15978	Neoplasms	D009369	NA	Association
Abrus Precatorius	Fabaceae	31715238	NA	NA	NFE2L2	4780	Neoplasms	D009369	NA	Association
Abrus Precatorius	Fabaceae	31715238	NA	NA	NFE2L2	4780	Mouth Neoplasms	D009062	NA	Association
Abrus Precatorius	Fabaceae	24793310	NA	NA	MKI67	17345	Neoplasms	D009369	NA	Association
Abrus Precatorius	Fabaceae	24793310	NA	NA	ANXA5	308	Carcinoma, Hepatocellular	D006528	NA	Association
Abrus Precatorius	Fabaceae	25000506	NA	NA	TNF	21926	Neoplasms	D009369	NA	Association
Abrus Precatorius	Fabaceae	26914517	NA	NA	AKT1	207	Breast Neoplasms	D001943	NA	Association
Abrus Precatorius	Fabaceae	26914517	NA	NA	AKT1	207	Neoplasms	D009369	NA	Association
Abrus Precatorius	Fabaceae	35715430	NA	NA	ERBB2	2064	NA	NA	NA	NA
Abrus Precatorius	Fabaceae	24793310	NA	NA	PECAM1	5175	Neoplasms	D009369	NA	Association
Abrus Precatorius	Fabaceae	26914517	NA	NA	PECAM1	5175	Neoplasms	D009369	NA	Association
Abrus Precatorius	Fabaceae	35715430	NA	NA	NR3C1	2908	NA	NA	NA	NA
Abrus Precatorius	Fabaceae	31715238	NA	NA	NUP62	23636	Neoplasms	D009369	NA	Association
Abutilon Indicum	Malvaceae	36708685	NA	NA	CTNNB1	84353	Colorectal Neoplasms	D015179	NA	Association
Abutilon Indicum	Malvaceae	36708685	NA	NA	WNT2	114487	Colorectal Neoplasms	D015179	NA	Association
Abutilon Indicum	Malvaceae	36708685	NA	NA	TCF4	84382	Colorectal Neoplasms	D015179	NA	Association
Abutilon Indicum	Malvaceae	36708685	NA	NA	CAT	24248	NA	NA	NA	NA
Acacia Concinna	Fabaceae	39519596	NA	NA	PIK3CD	5293	Neoplasms	D009369	NA	Association
Acacia Concinna	Fabaceae	39519596	NA	NA	AKT1	207	Neoplasms	D009369	NA	Association
Acacia Concinna	Fabaceae	39519596	NA	NA	CTNNB1	1499	Neoplasms	D009369	NA	Association
Acacia Farnesiana	Fabaceae	32223728	diosmetin	C039602	TP53	7157	Carcinoma, Renal Cell	D002292	INHIBITOR	Association
Acacia Farnesiana	Fabaceae	32223728	diosmetin	C039602	AKT1	207	Carcinoma, Renal Cell	D002292	INHIBITOR	Association
Achillea Millefolium	Asteraceae	40696332	NA	NA	STAT4	6775	Pancreatic Neoplasms	D010190	NA	Association
Achillea Millefolium	Asteraceae	40696332	NA	NA	PIK3CD	5293	Pancreatic Neoplasms	D010190	NA	Association
Achillea Millefolium	Asteraceae	40696332	NA	NA	RAB11FIP3	9727	Pancreatic Neoplasms	D010190	NA	Association
Achillea Millefolium	Asteraceae	40696332	NA	NA	EMP1	2012	Pancreatic Neoplasms	D010190	NA	Association
Aegle Marmelos	Rutaceae	21417629	NA	NA	ODC1	24609	Neoplasms	D009369	NA	Association
Aegle Marmelos	Rutaceae	21417629	NA	NA	ODC1	24609	Precancerous Conditions	D011230	NA	Association
Aegle Marmelos	Rutaceae	24484210	NA	NA	ALOX15	246	Lymphoma	D008223	NA	Association
Aegle Marmelos	Rutaceae	24484210	NA	NA	ALOX15	246	Neuroblastoma	D009447	NA	Association
Aegle Marmelos	Rutaceae	23855803	NA	NA	IL6	16193	Neoplasms	D009369	NA	Association
Aegle Marmelos	Rutaceae	23434131	auraptene	C105832	HIF1A	3091	Neoplasms	D009369	INDIRECT-DOWNREGULATOR	Association
Aegle Marmelos	Rutaceae	23855803	NA	NA	IL1B	16176	Neoplasms	D009369	NA	Association
Aegle Marmelos	Rutaceae	23855803	NA	NA	TRP53-PS	22060	Neoplasms	D009369	NA	Association
Aegle Marmelos	Rutaceae	23855803	NA	NA	JUN	16476	Neoplasms	D009369	NA	Association
Aegle Marmelos	Rutaceae	23855803	NA	NA	BCL2	12043	Neoplasms	D009369	NA	Association
Aegle Marmelos	Rutaceae	23855803	NA	NA	IL4	16189	Neoplasms	D009369	NA	Association
Ageratum Conyzoides	Asteraceae	33066411	NA	NA	MMP9	4318	Breast Neoplasms	D001943	NA	Association
Ageratum Conyzoides	Asteraceae	33066411	NA	NA	MMP9	4318	Neoplasms	D009369	NA	Association
Ageratum Conyzoides	Asteraceae	33800366	NA	NA	MMP9	4318	Breast Neoplasms	D001943	NA	Association
Agrimonia Pilosa	Rosaceae	40311718	NA	NA	CASP3	12367	Neoplasms	D009369	NA	Association
Agrimonia Pilosa	Rosaceae	40311718	NA	NA	TRP53	22059	Neoplasms	D009369	NA	Association
Agrimonia Pilosa	Rosaceae	40311718	NA	NA	BCL2	12043	Carcinoma, Non-Small-Cell Lung	D002289	NA	Association
Agrimonia Pilosa	Rosaceae	40311718	NA	NA	BCL2	12043	Neoplasms	D009369	NA	Association
Agrimonia Pilosa	Rosaceae	40311718	NA	NA	BAX	12028	Neoplasms	D009369	NA	Association
Agrimonia Pilosa	Rosaceae	34785107	NA	NA	NFE2L2	4780	Pancreatic Neoplasms	D010190	NA	Association
Agrimonia Pilosa	Rosaceae	39353336	agrimonolide	C036057	HIF1A	3091	Ovarian Neoplasms	D010051	INDIRECT-DOWNREGULATOR	Association
Agrimonia Pilosa	Rosaceae	35526323	agrimonolide	C036057	SLC7A11	23657	Neoplasms	D009369	INDIRECT-DOWNREGULATOR	Association
Agrimonia Pilosa	Rosaceae	35526323	agrimonolide	C036057	SCD	6319	Ovarian Neoplasms	D010051	DIRECT-REGULATOR	Association
Agrimonia Pilosa	Rosaceae	35526323	agrimonolide	C036057	SCD	6319	Neoplasms	D009369	DIRECT-REGULATOR	Association
Agrimonia Pilosa	Rosaceae	35526323	agrimonolide	C036057	SCD	6319	Ovarian Neoplasms	D010051	INDIRECT-DOWNREGULATOR	Association
Agrimonia Pilosa	Rosaceae	35526323	agrimonolide	C036057	SCD	6319	Neoplasms	D009369	INDIRECT-DOWNREGULATOR	Association
Agrimonia Pilosa	Rosaceae	40311718	NA	NA	AKT1	11651	Carcinoma, Non-Small-Cell Lung	D002289	NA	Association
Agrimonia Pilosa	Rosaceae	40311718	NA	NA	AKT1	11651	Neoplasms	D009369	NA	Association
Agrimonia Pilosa	Rosaceae	35526323	agrimonolide	C036057	GPX4	2879	Neoplasms	D009369	INDIRECT-DOWNREGULATOR	Association
Agrimonia Pilosa	Rosaceae	39353336	agrimonolide	C036057	HK2	3099	Ovarian Neoplasms	D010051	INDIRECT-DOWNREGULATOR	Association
Agrimonia Pilosa	Rosaceae	40311718	NA	NA	PIK3R1	18708	Neoplasms	D009369	NA	Association
Agrimonia Pilosa	Rosaceae	40311718	NA	NA	PIK3R1	18708	Carcinoma, Non-Small-Cell Lung	D002289	NA	Association
Agrimonia Pilosa	Rosaceae	39353336	agrimonolide	C036057	LDHA	3939	Ovarian Neoplasms	D010051	INDIRECT-DOWNREGULATOR	Association
Alpinia Conchigera	Zingiberaceae	26158863	NA	NA	KLK3	354	Neoplasms	D009369	NA	Association
Alpinia Conchigera	Zingiberaceae	26158863	NA	NA	NFKB1	4790	Neoplasms	D009369	NA	Association
Alpinia Conchigera	Zingiberaceae	21346553	NA	NA	NFKB1	4790	Neoplasms	D009369	NA	Association
Alpinia Conchigera	Zingiberaceae	28158287	NA	NA	BECN1	8678	Carcinoma, Non-Small-Cell Lung	D002289	NA	Association
Alpinia Conchigera	Zingiberaceae	26158863	NA	NA	CEACAM3	1084	Neoplasms	D009369	NA	Association
Alpinia Conchigera	Zingiberaceae	26158863	NA	NA	AFP	174	Neoplasms	D009369	NA	Association
Alpinia Galanga	Zingiberaceae	33445186	NA	NA	MYC	4609	Breast Neoplasms	D001943	NA	Association
Alpinia Galanga	Zingiberaceae	33445186	NA	NA	MYC	4609	Neoplasms	D009369	NA	Association
Alpinia Galanga	Zingiberaceae	33445186	NA	NA	ERBB2	2064	Neoplasms	D009369	NA	Association
Alpinia Galanga	Zingiberaceae	33445186	NA	NA	ERBB2	2064	Breast Neoplasms	D001943	NA	Association
Alpinia Galanga	Zingiberaceae	33445186	1'-acetoxychavicol acetate	C047948	VEGFA	7422	NA	NA	INDIRECT-DOWNREGULATOR	NA
Alpinia Galanga	Zingiberaceae	20659317	NA	NA	NFKB1	4790	Carcinoma, Squamous Cell	D002294	NA	Association
Alpinia Galanga	Zingiberaceae	20659317	NA	NA	NFKB1	4790	Neoplasms	D009369	NA	Association
Alpinia Galanga	Zingiberaceae	19288216	NA	NA	TYR	7299	Melanoma	D008545	NA	Association
Alpinia Galanga	Zingiberaceae	33445186	1'-acetoxychavicol acetate	C047948	CXCR4	7852	NA	NA	INDIRECT-DOWNREGULATOR	NA
Alpinia Galanga	Zingiberaceae	33445186	NA	NA	ESR1	2099	Breast Neoplasms	D001943	NA	Association
Alpinia Galanga	Zingiberaceae	33445186	NA	NA	CCND1	595	Breast Neoplasms	D001943	NA	Association
Alpinia Galanga	Zingiberaceae	33445186	NA	NA	CCND1	595	Neoplasms	D009369	NA	Association
Alpinia Galanga	Zingiberaceae	33445186	1'-acetoxychavicol acetate	C047948	MCL1	4170	NA	NA	INDIRECT-DOWNREGULATOR	NA
Alpinia Mutica	Zingiberaceae	27070566	NA	NA	UCK2	7371	Neoplasms	D009369	NA	Association
Alpinia Mutica	Zingiberaceae	27070566	alpinetin	C436748	UCK2	7371	Neoplasms	D009369	DIRECT-REGULATOR	Association
Alpinia Mutica	Zingiberaceae	27070566	alpinetin	C436748	UCK2	7371	Neoplasms	D009369	INHIBITOR	Association
Alpinia Mutica	Zingiberaceae	29052437	NA	NA	VEGFA	7422	Colorectal Neoplasms	D015179	NA	Association
Alpinia Mutica	Zingiberaceae	29052437	NA	NA	VEGFA	7422	Neoplasms	D009369	NA	Association
Alpinia Mutica	Zingiberaceae	29052437	NA	NA	VEGFA	7422	Carcinogenesis	D063646	NA	Association
Alysicarpus Vaginalis	Fabaceae	34612094	NA	NA	EREG	2069	Breast Neoplasms	D001943	NA	Association
Alysicarpus Vaginalis	Fabaceae	34612094	NA	NA	MET	4233	Breast Neoplasms	D001943	NA	Association
Alysicarpus Vaginalis	Fabaceae	34612094	NA	NA	ESR2	2100	Breast Neoplasms	D001943	NA	Association
Alysicarpus Vaginalis	Fabaceae	34612094	NA	NA	VEGFA	7422	Breast Neoplasms	D001943	NA	Association
Alysicarpus Vaginalis	Fabaceae	34612094	NA	NA	SRC	6714	Breast Neoplasms	D001943	NA	Association
Alysicarpus Vaginalis	Fabaceae	34612094	NA	NA	SLTM	79811	Breast Neoplasms	D001943	NA	Association
Alysicarpus Vaginalis	Fabaceae	34612094	NA	NA	ESR1	2099	Breast Neoplasms	D001943	NA	Association
Alysicarpus Vaginalis	Fabaceae	34612094	NA	NA	EGFR	1956	Breast Neoplasms	D001943	NA	Association
Alysicarpus Vaginalis	Fabaceae	34612094	NA	NA	SLC7A1	6541	Breast Neoplasms	D001943	NA	Association
Alysicarpus Vaginalis	Fabaceae	34612094	NA	NA	KDR	3791	Breast Neoplasms	D001943	NA	Association
Alysicarpus Vaginalis	Fabaceae	34612094	NA	NA	NOS3	4846	Breast Neoplasms	D001943	NA	Association
Anisomeles Indica	Lamiaceae	22634262	apigenin	D047310	NFKB1	4790	Breast Neoplasms	D001943	INDIRECT-DOWNREGULATOR	Association
Anisomeles Indica	Lamiaceae	22634262	apigenin	D047310	NFKB1	4790	Neoplasms	D009369	INDIRECT-DOWNREGULATOR	Association
Anisomeles Indica	Lamiaceae	31035045	NA	NA	VIM	7431	Neoplasms	D009369	NA	Association
Anisomeles Indica	Lamiaceae	31035045	NA	NA	BCL2	596	Neoplasms	D009369	NA	Association
Anisomeles Indica	Lamiaceae	30097127	ovatodiolide	C432447	KDM5B	75605	Mouth Neoplasms	D009062	INHIBITOR	Association
Anisomeles Indica	Lamiaceae	27136586	NA	NA	HSPB2	3316	Neoplasm Metastasis	D009362	NA	Association
Anisomeles Indica	Lamiaceae	27136586	NA	NA	HSPB2	3316	Neoplasms	D009369	NA	Association
Anisomeles Indica	Lamiaceae	27136586	NA	NA	HSPB2	3316	Breast Neoplasms	D001943	NA	Association
Anisomeles Indica	Lamiaceae	31035045	NA	NA	SNAI2	6591	Neoplasms	D009369	NA	Association
Anisomeles Indica	Lamiaceae	27136586	NA	NA	SMURF2	64750	Neoplasm Metastasis	D009362	NA	Association
Anisomeles Indica	Lamiaceae	27136586	NA	NA	SMURF2	64750	Neoplasms	D009369	NA	Association
Anisomeles Indica	Lamiaceae	27136586	NA	NA	SMURF2	64750	Breast Neoplasms	D001943	NA	Association
Anisomeles Indica	Lamiaceae	22033475	ovatodiolide	C432447	MMP9	4318	NA	NA	INDIRECT-DOWNREGULATOR	NA
Anisomeles Indica	Lamiaceae	22033475	NA	NA	MMP9	4318	NA	NA	NA	NA
Anisomeles Indica	Lamiaceae	22033475	ovatodiolide	C432447	MMP9	4318	NA	NA	INHIBITOR	NA
Anisomeles Indica	Lamiaceae	22634262	apigenin	D047310	RELA	5970	NA	NA	INDIRECT-DOWNREGULATOR	NA
Anisomeles Indica	Lamiaceae	36265255	ovatodiolide	C432447	AKT1	207	Neoplasms	D009369	INDIRECT-DOWNREGULATOR	Association
Anisomeles Indica	Lamiaceae	36265255	ovatodiolide	C432447	AKT1	207	Carcinoma, Hepatocellular	D006528	INDIRECT-DOWNREGULATOR	Association
Anisomeles Indica	Lamiaceae	22634262	apigenin	D047310	MMP9	4318	Neoplasms	D009369	INHIBITOR	Association
Anisomeles Indica	Lamiaceae	22634262	apigenin	D047310	MMP9	4318	Breast Neoplasms	D001943	INHIBITOR	Association
Anisomeles Indica	Lamiaceae	30097127	ovatodiolide	C432447	JAK2	16452	Mouth Neoplasms	D009062	INHIBITOR	Association
Anisomeles Indica	Lamiaceae	30097127	ovatodiolide	C432447	JAK2	16452	Carcinogenesis	D063646	INHIBITOR	Association
Anisomeles Indica	Lamiaceae	31035045	NA	NA	CTNNB1	1499	Neoplasms	D009369	NA	Association
Anisomeles Indica	Lamiaceae	22033475	ovatodiolide	C432447	AKT1	207	NA	NA	INHIBITOR	NA
Anisomeles Indica	Lamiaceae	22033475	ovatodiolide	C432447	MAPK8	5599	NA	NA	INHIBITOR	NA
Anisomeles Indica	Lamiaceae	31035045	NA	NA	CDH1	999	Neoplasms	D009369	NA	Association
Anisomeles Indica	Lamiaceae	22033475	ovatodiolide	C432447	PIK3R1	5295	NA	NA	INHIBITOR	NA
Anisomeles Indica	Lamiaceae	31035045	NA	NA	BAX	581	Neoplasms	D009369	NA	Association
Anisomeles Indica	Lamiaceae	36265255	ovatodiolide	C432447	MTOR	2475	Neoplasms	D009369	INDIRECT-DOWNREGULATOR	Association
Anisomeles Indica	Lamiaceae	36265255	ovatodiolide	C432447	MTOR	2475	Carcinoma, Hepatocellular	D006528	INDIRECT-DOWNREGULATOR	Association
Anisomeles Indica	Lamiaceae	32544403	NA	NA	AKT1	207	Urinary Bladder Neoplasms	D001749	NA	Association
Anisomeles Indica	Lamiaceae	32544403	NA	NA	AKT1	207	Neoplasms	D009369	NA	Association
Anisomeles Indica	Lamiaceae	36265255	NA	NA	MAPK1	5594	Carcinoma, Hepatocellular	D006528	NA	Association
Anisomeles Indica	Lamiaceae	30097127	NA	NA	ALDH1A1	11668	Mouth Neoplasms	D009062	NA	Association
Anisomeles Indica	Lamiaceae	31035045	NA	NA	CDH2	1000	Neoplasms	D009369	NA	Association
Anisomeles Indica	Lamiaceae	22634262	apigenin	D047310	FOS	2353	Neoplasms	D009369	INDIRECT-DOWNREGULATOR	Association
Anisomeles Indica	Lamiaceae	22634262	apigenin	D047310	FOS	2353	Breast Neoplasms	D001943	INDIRECT-DOWNREGULATOR	Association
Anisomeles Indica	Lamiaceae	22033475	ovatodiolide	C432447	NFKB1	4790	NA	NA	INDIRECT-DOWNREGULATOR	NA
Anisomeles Indica	Lamiaceae	22033475	NA	NA	NFKB1	4790	NA	NA	NA	NA
Anisomeles Indica	Lamiaceae	22033475	ovatodiolide	C432447	NFKB1	4790	NA	NA	INHIBITOR	NA
Anisomeles Indica	Lamiaceae	32544403	ovatodiolide	C432447	CDK6	1021	Neoplasms	D009369	INDIRECT-DOWNREGULATOR	Association
Anisomeles Indica	Lamiaceae	32544403	ovatodiolide	C432447	CDK6	1021	Urinary Bladder Neoplasms	D001749	INDIRECT-DOWNREGULATOR	Association
Anisomeles Indica	Lamiaceae	32544403	ovatodiolide	C432447	CDK6	1021	Carcinogenesis	D063646	INDIRECT-DOWNREGULATOR	Association
Anisomeles Indica	Lamiaceae	32544403	ovatodiolide	C432447	MIR21	406991	Neoplasms	D009369	INDIRECT-DOWNREGULATOR	Association
Anisomeles Indica	Lamiaceae	32544403	ovatodiolide	C432447	MIR21	406991	Carcinogenesis	D063646	INDIRECT-DOWNREGULATOR	Association
Anisomeles Indica	Lamiaceae	22033475	ovatodiolide	C432447	MAPK14	1432	NA	NA	INHIBITOR	NA
Anisomeles Indica	Lamiaceae	32544403	ovatodiolide	C432447	MTOR	2475	Carcinogenesis	D063646	INDIRECT-DOWNREGULATOR	Association
Anisomeles Indica	Lamiaceae	32544403	ovatodiolide	C432447	MTOR	2475	Neoplasms	D009369	INDIRECT-DOWNREGULATOR	Association
Anisomeles Indica	Lamiaceae	32544403	ovatodiolide	C432447	MTOR	2475	Urinary Bladder Neoplasms	D001749	INDIRECT-DOWNREGULATOR	Association
Anisomeles Indica	Lamiaceae	22033475	ovatodiolide	C432447	NFKBIA	4792	NA	NA	INDIRECT-DOWNREGULATOR	NA
Anisomeles Indica	Lamiaceae	32544403	NA	NA	STAT3	6774	Neoplasms	D009369	NA	Association
Anisomeles Indica	Lamiaceae	32544403	NA	NA	STAT3	6774	Urinary Bladder Neoplasms	D001749	NA	Association
Anisomeles Indica	Lamiaceae	32544403	ovatodiolide	C432447	CTNNB1	1499	Urinary Bladder Neoplasms	D001749	INDIRECT-DOWNREGULATOR	Association
Anisomeles Indica	Lamiaceae	32544403	ovatodiolide	C432447	CTNNB1	1499	Neoplasms	D009369	INDIRECT-DOWNREGULATOR	Association
Anisomeles Indica	Lamiaceae	32544403	ovatodiolide	C432447	CTNNB1	1499	Carcinogenesis	D063646	INDIRECT-DOWNREGULATOR	Association
Anisomeles Indica	Lamiaceae	30097127	ovatodiolide	C432447	STAT3	20848	Carcinogenesis	D063646	INHIBITOR	Association
Anisomeles Indica	Lamiaceae	30097127	ovatodiolide	C432447	STAT3	20848	Neoplasms	D009369	INHIBITOR	Association
Anisomeles Indica	Lamiaceae	30097127	ovatodiolide	C432447	STAT3	20848	Mouth Neoplasms	D009062	INHIBITOR	Association
Antiaris Toxicaria	Moraceae	29992400	NA	NA	AKT1	207	Stomach Neoplasms	D013274	NA	Association
Antiaris Toxicaria	Moraceae	34043967	malayoside	-	MAPK14	1432	Neoplasms	D009369	ACTIVATOR	Association
Antiaris Toxicaria	Moraceae	29992400	NA	NA	MTOR	2475	Stomach Neoplasms	D013274	NA	Association
Antiaris Toxicaria	Moraceae	34043967	malayoside	-	MAPK1	5594	Neoplasms	D009369	ACTIVATOR	Association
Antiaris Toxicaria	Moraceae	34043967	malayoside	-	NR4A1	3164	Carcinoma, Non-Small-Cell Lung	D002289	INDIRECT-UPREGULATOR	Association
Antiaris Toxicaria	Moraceae	34043967	malayoside	-	NR4A1	3164	Neoplasms	D009369	INDIRECT-UPREGULATOR	Association
Antiaris Toxicaria	Moraceae	34043967	malayoside	-	NR4A1	3164	Carcinoma, Non-Small-Cell Lung	D002289	ACTIVATOR	Association
Antiaris Toxicaria	Moraceae	34043967	malayoside	-	NR4A1	3164	Neoplasms	D009369	ACTIVATOR	Association
Arachis Hypogaea	Fabaceae	31195202	NA	NA	LOC112777417	112777417	Neoplasms	D009369	NA	Association
Arachis Hypogaea	Fabaceae	24589677	NA	NA	LOC112777417	112777417	Lymphoma	D008223	NA	Association
Arachis Hypogaea	Fabaceae	31195202	NA	NA	LOC112779322	112779322	Neoplasms	D009369	NA	Association
Arachis Hypogaea	Fabaceae	23265237	NA	NA	LGALS3	3958	Fibroadenoma	D018226	NA	Association
Arachis Hypogaea	Fabaceae	23265237	NA	NA	LGALS3	3958	Breast Neoplasms	D001943	NA	Association
Arachis Hypogaea	Fabaceae	23265237	NA	NA	LGALS3	3958	Neoplasms	D009369	NA	Association
Arachis Hypogaea	Fabaceae	28081154	NA	NA	DAB2IP	69601	Prostatic Neoplasms	D011471	NA	Association
Arachis Hypogaea	Fabaceae	24589677	NA	NA	LGALS1	3956	Lymphoma, Large-Cell, Anaplastic	D017728	NA	Association
Arachis Hypogaea	Fabaceae	24589677	NA	NA	LGALS1	3956	Lymphoma	D008223	NA	Association
Arctium Lappa	Asteraceae	24842412	NA	NA	CASP3	836	Ovarian Neoplasms	D010051	NA	Association
Arctium Lappa	Asteraceae	27878294	arctigenin	C071942	MMP9	4318	NA	NA	INHIBITOR	NA
Arctium Lappa	Asteraceae	27878294	arctigenin	C071942	MMP9	4318	NA	NA	INDIRECT-DOWNREGULATOR	NA
Arctium Lappa	Asteraceae	28035371	arctigenin	C071942	MMP9	4318	Breast Neoplasms	D001943	INHIBITOR	Association
Arctium Lappa	Asteraceae	33015162	l-arginine	C071942	AKT1	207	Glioma	D005910	INDIRECT-DOWNREGULATOR	Association
Arctium Lappa	Asteraceae	33015162	l-arginine	C071942	AKT1	207	Glioma	D005910	INHIBITOR	Association
Arctium Lappa	Asteraceae	34283274	NA	NA	BCL2	596	Cholangiocarcinoma	D018281	NA	Association
Arctium Lappa	Asteraceae	34283274	NA	NA	CASP3	836	Cholangiocarcinoma	D018281	NA	Association
Arctium Lappa	Asteraceae	38254705	NA	NA	PTEN	19211	Prostatic Neoplasms	D011471	NA	Association
Arctium Lappa	Asteraceae	24842412	arctigenin	C071942	STAT3	6774	Ovarian Neoplasms	D010051	INDIRECT-DOWNREGULATOR	Association
Arctium Lappa	Asteraceae	24222662	lappaol f	C000591899	DCTN6	10671	NA	NA	INDIRECT-DOWNREGULATOR	NA
Arctium Lappa	Asteraceae	29207179	arctigenin	C071942	MAPK14	26416	NA	NA	INHIBITOR	NA
Arctium Lappa	Asteraceae	27878294	arctigenin	C071942	HPSE	10855	Breast Neoplasms	D001943	INDIRECT-DOWNREGULATOR	Association
Arctium Lappa	Asteraceae	27878294	arctigenin	C071942	HPSE	10855	Neoplasm Metastasis	D009362	INDIRECT-DOWNREGULATOR	Association
Arctium Lappa	Asteraceae	24222662	lappaol f	C000591899	CDK1	983	NA	NA	INDIRECT-DOWNREGULATOR	NA
Arctium Lappa	Asteraceae	23846926	NA	NA	KRAS	3845	Carcinoma, Pancreatic Ductal	D021441	NA	Association
Arctium Lappa	Asteraceae	33015162	l-arginine	C071942	MTOR	2475	Glioma	D005910	INDIRECT-DOWNREGULATOR	Association
Arctium Lappa	Asteraceae	33015162	l-arginine	C071942	MTOR	2475	Glioma	D005910	INHIBITOR	Association
Arctium Lappa	Asteraceae	28035371	arctigenin	C071942	AKT1	207	Breast Neoplasms	D001943	INHIBITOR	Association
Arctium Lappa	Asteraceae	24222662	lappaol f	C000591899	CCNB1	891	NA	NA	INDIRECT-DOWNREGULATOR	NA
Arctium Lappa	Asteraceae	38254705	NA	NA	AKT1	207	NA	NA	NA	NA
Arctium Lappa	Asteraceae	34283274	NA	NA	CDH1	999	Cholangiocarcinoma	D018281	NA	Association
Arctium Lappa	Asteraceae	28035371	arctigenin	C071942	PLAU	5328	Breast Neoplasms	D001943	INHIBITOR	Association
Arctium Lappa	Asteraceae	24222662	lappaol f	C000591899	CDKN1A	1026	NA	NA	INDIRECT-DOWNREGULATOR	NA
Arctium Lappa	Asteraceae	24222662	lappaol f	C000591899	CDKN1A	1026	NA	NA	INDIRECT-UPREGULATOR	NA
Arctium Lappa	Asteraceae	32207025	l-arginine	C071942	SQSTM1	8878	NA	NA	INDIRECT-UPREGULATOR	NA
Arctium Lappa	Asteraceae	34283274	NA	NA	BAX	581	Cholangiocarcinoma	D018281	NA	Association
Arctium Lappa	Asteraceae	30896794	NA	NA	JAG1	182	Retinoblastoma	D012175	NA	Association
Arctium Lappa	Asteraceae	29207179	arctigenin	C071942	MAPK1	26413	NA	NA	INHIBITOR	NA
Arctium Lappa	Asteraceae	38254705	NA	NA	AR	367	NA	NA	NA	NA
Arctium Lappa	Asteraceae	28035371	arctigenin	C071942	NFKB1	4790	Breast Neoplasms	D001943	INHIBITOR	Association
Arctium Lappa	Asteraceae	31804025	NA	NA	GSTP1	24426	Precancerous Conditions	D011230	NA	Association
Arctium Lappa	Asteraceae	27861147	NA	NA	STAT3	6774	Triple Negative Breast Neoplasms	D064726	NA	Association
Arctium Lappa	Asteraceae	36947006	arctigenin	NA	EGFR	13649	Neoplasms	D009369	NA	Association
Arctium Lappa	Asteraceae	36947006	arctigenin	NA	EGFR	13649	Carcinoma, Renal Cell	D002292	NA	Association
Arctium Lappa	Asteraceae	24842412	arctigenin	C071942	NOS2	4843	Ovarian Neoplasms	D010051	INDIRECT-DOWNREGULATOR	Association
Arctium Lappa	Asteraceae	27878294	arctigenin	C071942	MMP2	4313	NA	NA	INHIBITOR	NA
Arctium Lappa	Asteraceae	27878294	arctigenin	C071942	MMP2	4313	NA	NA	INDIRECT-DOWNREGULATOR	NA
Arctium Lappa	Asteraceae	34283274	arctigenin	C071942	CDH2	1000	Cholangiocarcinoma	D018281	INHIBITOR	Association
Arctium Lappa	Asteraceae	34283274	arctigenin	C071942	CDH2	1000	Neoplasms	D009369	INHIBITOR	Association
Arctium Lappa	Asteraceae	30668440	arctiin	C077992	SRC	6714	NA	NA	INDIRECT-UPREGULATOR	NA
Arctium Lappa	Asteraceae	30668440	arctiin	C077992	STAT3	6774	Neoplasms	D009369	INHIBITOR	Association
Arctium Lappa	Asteraceae	30668440	arctiin	C077992	STAT3	6774	Multiple Myeloma	D009101	INHIBITOR	Association
Arctium Lappa	Asteraceae	30668440	arctiin	C077992	STAT3	6774	Neoplasms	D009369	INDIRECT-UPREGULATOR	Association
Arctium Lappa	Asteraceae	30668440	arctiin	C077992	STAT3	6774	Multiple Myeloma	D009101	INDIRECT-UPREGULATOR	Association
Arctium Lappa	Asteraceae	30668440	arctiin	C077992	STAT3	6774	Neoplasms	D009369	ACTIVATOR	Association
Arctium Lappa	Asteraceae	30668440	arctiin	C077992	STAT3	6774	Multiple Myeloma	D009101	ACTIVATOR	Association
Arctium Lappa	Asteraceae	28035371	arctigenin	C071942	ESR1	2099	Breast Neoplasms	D001943	INHIBITOR	Association
